ChordalTolerance,AngularTolerance,HoleRadiusMin,HoleRadiusMax,BlendRadiusMin,BlendRadiusMax
0.07,20,10,17.5,5,10
0.08,18,10,17.5,5,10
0.05,20,10,17.5,5,10
0.096,25,10,17.5,5,10
0.01,22,10,17.5,5,10
0.02,18,1.25,5,0.15,2
0.04,17,1.25,5,0.15,2
0.07,14,1.25,5,0.15,2
0.1,13,1.25,5,0.15,2
0.02,20,3.175,7.14375,3.175,12.7
0.07,14,3.175,7.14375,3.175,12.7
0.09,22,3.175,7.14375,3.175,12.7
0.04,14,3.175,7.14375,3.175,12.7
0.045,19,3.175,7.14375,3.175,12.7
0.021,16,4.19,26,6,25
0.022,22,4.19,26,6,25
0.02,20,4.19,26,6,25
0.12,18,4.19,26,6,25
0.12,14,2.3876,7.9375,6.35,12.7
0.16,15,2.3876,7.9375,6.35,12.7
0.16,15,2.3876,7.9375,6.35,12.7
0.065,16,2.3876,7.9375,6.35,12.7
0.02,26,3.325,7,2.5,25
0.01,20,3.325,7,2.5,25
0.03,14,3.325,7,2.5,25
0.03,16,3.325,7,2.5,25
0.018,21,3.96875,9.525,6.35,6.35
0.015,20,3.96875,9.525,6.35,6.35
0.016,19,3.96875,9.525,6.35,6.35
0.016,16,3.96875,9.525,6.35,6.35
0.016,19,3.96875,9.525,6.35,6.35
0.02,14,1.63195,1.63195,2.54,2.54
0.01,16,1.63195,1.63195,2.54,2.54
