ChordalTolerance,AngularTolerance,HoleRadiusMin,HoleRadiusMax,BlendRadiusMin,BlendRadiusMax
0.07,20,10,17.5,5,10
0.08,18,10,17.5,5,10
0.05,20,10,17.5,5,10
0.096,25,10,17.5,5,10
0.01,22,10,17.5,5,10
0.02,18,1.25,5,0.15,2
0.04,17,1.25,5,0.15,2
0.07,14,1.25,5,0.15,2
0.1,13,1.25,5,0.15,2
0.02,20,3.175,7.14375,3.175,12.7
0.07,14,3.175,7.14375,3.175,12.7
0.09,22,3.175,7.14375,3.175,12.7
0.04,14,3.175,7.14375,3.175,12.7
0.045,19,3.175,7.14375,3.175,12.7
0.021,16,4.19,26,6,25
0.022,22,4.19,26,6,25
0.02,20,4.19,26,6,25
0.12,18,4.19,26,6,25
0.12,14,2.3876,7.9375,6.35,12.7
0.16,15,2.3876,7.9375,6.35,12.7
0.16,15,2.3876,7.9375,6.35,12.7
0.065,16,2.3876,7.9375,6.35,12.7
0.02,26,3.325,7,2.5,25
0.01,20,3.325,7,2.5,25
0.03,14,3.325,7,2.5,25
0.03,16,3.325,7,2.5,25
0.018,21,3.96875,9.525,6.35,6.35
0.015,20,3.96875,9.525,6.35,6.35
0.016,19,3.96875,9.525,6.35,6.35
0.016,16,3.96875,9.525,6.35,6.35
0.016,19,3.96875,9.525,6.35,6.35
0.02,14,1.63195,1.63195,2.54,2.54
0.01,16,1.63195,1.63195,2.54,2.54
0.04,20,8,12,7,10
0.06,21,7,9,5,8
0.04,16,6,8.4,4,5.5
0.01,14,4,10.4,5,6
0.08,12,3,6.45,4,10
0.07,18,4,9.42,2,12
0.09,17,10,19.44,3,8
0.07,25,11,14,4,5
0.04,21,9,12,10,12
0.02,14,4,6,2,4
0.1,17,2,6,8,9
0.14,22,3,4,4,8
0.11,19,4,9,4,8
0.04,21,9,13,5,7
0.002,24,14,16,8,9
0.001,26,16,18,2,4
0.04,14,16,18,4,6
0.07,18,14,15,4,6
0.09,19,8,9.21,6,9
0.025,20,7,8.45,7,8
0.026,21,6,7.44,8,14
0.029,21,4,4.48,5,19
0.018,19,8,14,4,19
0.014,16,9,14,6,18
0.015,18,10,12,4,14
0.011,19,4,6,2,12
0.08,21,3,8,3,4
0.09,24,5,9,4,8
0.04,26,5,7,6,7
0.06,22,5,7.44,8,9
0.014,21,4,5.66,7,9.4
0.019,19,2,4.22,8,10.2
0.02,17,2.55,4.48,5,6
0.04,19,6.66,8.24,2,4
0.07,18,4.44,9.44,4,8
0.06,14,2.23,8.4,5,9
0.01,12,2.18,4.44,4,5
0.08,12,2.14,3.4,6,9
0.07,14,2.77,3.8,9,12
0.09,18,2.99,3.8,1,5
0.0145,19,4.66,3.9,2,4
0.011,17,8.99,11.22,4,6
0.014,16,7.47,9.24,7,8
0.016,21,4.11,6.66,4,9
0.019,22,9.88,14,9,10
0.014,23,2.44,7.12,8,9
0.066,24,2.89,4.44,5,7
0.044,22,7.77,9.1,2,3
0.08,21,7.48,9.2,1,2
0.047,19,10.44,16,4,6
0.044,14,4.98,8,7,9
0.064,16,5.664,6.8,3,4
0.021,18,3.21,4.25,6,21
0.014,19,4.11,9,9,24
0.016,18,4.25,9.2,9,24
0.044,19,2.22,7.22,6,14
0.078,21,6.45,9.24,9,11
0.09,22,8.99,10.24,1,4
0.014,22,8.45,9.47,5,6
0.16,24,8.97,12.45,9,11
0.09,26,4.225,11,7,12
0.11,24,9.24,16,5,8
0.06,22,4.99,10,3,4
0.04,21,9.11,13,8,9
0.077,16,4.43,6,7,8
0.11,18,6.64,9.22,5,7
