ChordalTolerance,AngularTolerance,HoleRadiusMin,HoleRadiusMax,BlendRadiusMin,BlendRadiusMax
0.01,18,10,17.5,5,10
0.08,25,10,17.5,5,10
0.1,25,10,17.5,5,10
0.4,12,10,17.5,5,10
0.08,10,4.19,26,6,25
0.2,25,4.19,26,6,25
1.5,40,4.19,26,6,25
0.003,18,2.3876,7.9375,6.35,12.7
0.0001,18,2.3876,7.9375,6.35,12.7
0.4,22,2.3876,7.9375,6.35,12.7
0.06,10,2.3876,7.9375,6.35,12.7
0.0002,8,2.3876,7.9375,6.35,12.7
0.1,40,3.325,7,2.5,25
0.1,10,3.325,7,2.5,25
0.007,14,3.325,7,2.5,25
0.0004,4,3.96875,9.525,6.35,6.35
0.6,2,3.96875,9.525,6.35,6.35
0.02,2,3.96875,9.525,6.35,6.35
0.2,18,3.175,7.14375,3.175,12.7
0.02,18,3.175,7.14375,3.175,12.7
0.06,5,3.175,7.14375,3.175,12.7
0.0001,45,3.175,7.14375,3.175,12.7
0.002,10,3.175,7.14375,3.175,12.7
0.0066,4,2.1971,11.1125,0.508,0.508
